minute,machineName,invocations,class
19,node-8.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,243,unknown
19,node-9.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,252,unknown
20,node-10.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,324,unknown
20,node-11.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,190,unknown
20,node-12.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,442,unknown
20,node-13.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,27,unknown
20,node-14.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,102,unknown
20,node-15.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,31,unknown
20,node-16.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,118,unknown
20,node-3.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,144,unknown
20,node-4.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,436,unknown
20,node-5.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,331,unknown
20,node-6.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,187,unknown
20,node-7.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,452,unknown
20,node-8.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,382,unknown
20,node-9.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,179,unknown
21,node-10.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,234,unknown
21,node-11.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,392,unknown
21,node-12.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,508,unknown
21,node-13.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,24,unknown
21,node-14.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,128,unknown
21,node-15.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,141,unknown
21,node-16.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,173,unknown
21,node-3.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,146,unknown
21,node-4.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,506,unknown
21,node-5.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,336,unknown
21,node-6.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,272,unknown
21,node-7.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,124,unknown
21,node-8.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,436,unknown
21,node-9.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,308,unknown
22,node-10.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,365,unknown
22,node-11.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,409,unknown
22,node-12.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,222,unknown
22,node-13.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,47,unknown
22,node-14.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,109,unknown
22,node-15.dir-all-fast.gt-8803-dns-pg0.utah.cloudlab.us,253,unknown
